rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-02,DVN,109,308048263.45,253
2017-02,WYNN,110,307594535.15,253
2017-02,SPG,111,306044693.87,253
2017-02,NEM,112,304746851.31,253
2017-02,LUV,113,303825699.18,253
2017-02,CTSH,114,303094926.82,253
2017-02,FOXA,115,299939057.47,253
2017-02,SCHW,116,295746876.49,253
2017-02,DE,117,295712661.49,253
2017-02,CSX,118,293542932.01,253
2017-02,SO,119,292144151.58,253
2017-02,FDX,120,291314328.99,253
2017-02,LYB,121,290913267.02,253
2017-02,WDC,122,289937956.76,253
2017-02,NEE,123,289630610.52,253
2017-02,ADBE,124,289616032.45,253
2017-02,ALXN,125,288499806.02,253
2017-02,DUK,126,286141678.03,253
2017-02,UAL,127,285806399.4,253
2017-02,KHC,128,285099480.8,253
2017-02,YUM,129,279463817.16,253
2017-02,DHR,130,278143442.07,253
2017-02,PNC,131,277157843.62,253
2017-02,TJX,132,275158850.62,253
2017-02,MAR,133,274252071.28,253
2017-02,MPC,134,272326729.02,253
2017-02,EXPE,135,272184451.18,253
2017-02,DG,136,271395166.75,253
2017-02,EA,137,270112359.11,253
2017-02,BAX,138,270020545.3,253
2017-02,RTN,139,269868519.35,253
2017-02,WMB,140,269592582.66,253
2017-02,EXE,141,269459416.48,253
2017-02,COF,142,267325059.86,253
2017-02,HUM,143,265844073.06,253
2017-02,MYL,144,264067643.67,253
2017-02,TMO,145,263518821.22,253
2017-02,STZ,146,262154669.55,253
2017-02,PANW,147,261149219.85,253
2017-02,BNY,148,256515281.97,253
2017-02,BP,149,255610444.41,253
2017-02,GD,150,254068985.46,253
2017-03,AAPL,1,4019085260.84,252
2017-03,AMZN,2,2852358051.24,252
2017-03,META,3,2771657120.34,252
2017-03,BAC,4,1784718668.52,252
2017-03,MSFT,5,1747055175.65,252
2017-03,GOOGL,6,1459830213.33,252
2017-03,GOOG,7,1327608417.38,252
2017-03,BABA,8,1305840711.68,252
2017-03,JPM,9,1213145864.76,252
2017-03,WFC,10,1194797923.4,252
2017-03,PG,11,1111528064.87,252
2017-03,XOM,12,1108407302.91,252
2017-03,GE,13,1098380282.29,252
2017-03,C,14,1066119907.61,252
2017-03,TSLA,15,1057334811.69,252
2017-03,PFE,16,1056511004.81,252
2017-03,AGN,17,1029950370.07,252
2017-03,T,18,968092327.3,252
2017-03,NVDA,19,950559991.27,252
2017-03,JNJ,20,920467442.93,252
2017-03,GILD,21,911582763.77,252
2017-03,INTC,22,835890830.77,252
2017-03,V,23,815016026.51,252
2017-03,DIS,24,813401960.82,252
2017-03,CVX,25,810666857.34,252
2017-03,VZ,26,809415950.48,252
2017-03,BKNG,27,748794091.75,252
2017-03,CSCO,28,740565024.48,252
2017-03,GS,29,691730098.57,252
2017-03,CMCSA,30,682208236.25,252
2017-03,WMT,31,680138033.59,252
2017-03,HD,32,676107868.2,252
2017-03,QCOM,33,666453095.87,252
2017-03,MRK,34,664975704.34,252
2017-03,BMY,35,654803868.95,252
2017-03,IBM,36,654334729.52,252
2017-03,MCD,37,647698494.81,252
2017-03,BHC,38,642700179.59,252
2017-03,CHTR,39,641302498.12,252
2017-03,KO,40,633992202.47,252
2017-03,BRK.B,41,596016829.3,252
2017-03,BA,42,579111529.16,252
2017-03,CVS,43,575766000.0,252
2017-03,AMGN,44,575087486.63,252
2017-03,NKE,45,571935269.75,252
2017-03,ORCL,46,561937832.2,252
